WorkOrderNumber,ProductCode,ProductName,ScheduledDate,ScheduledQuantity,Priority,WorkCenter,EstimatedHours,Status,SupervisorCode
WO20250820421,PRINTER_CN741,Printer Cn Compatible Cartridge 741,2025-09-05,471,Normal,WC004,35.4,Cancelled,SUP002
WO20250820422,PRINTER_LX373,Printer Lx Compatible Cartridge 373,2025-09-17,998,Urgent,WC006,32.3,In Progress,SUP004
WO20250820423,PRINTER_CN482,Printer Cn Compatible Cartridge 482,2025-08-23,1161,Urgent,WC005,43.8,Cancelled,SUP004
WO20250820424,PRINTER_HP205,Printer Hp Compatible Cartridge 205,2025-08-26,741,Normal,WC007,45.2,On Hold,SUP002
WO20250820425,PRINTER_BR025,Printer Br Compatible Cartridge 025,2025-09-11,472,Urgent,WC010,33.3,Completed,SUP005
WO20250820426,PRINTER_CN657,Printer Cn Compatible Cartridge 657,2025-09-01,1227,Normal,WC003,22.1,On Hold,SUP002
WO20250820427,PRINTER_CN781,Printer Cn Compatible Cartridge 781,2025-09-18,1046,High,WC010,45.1,Cancelled,SUP005
WO20250820428,PRINTER_HP693,Printer Hp Compatible Cartridge 693,2025-08-23,1661,Low,WC002,4.9,Scheduled,SUP003
WO20250820429,PRINTER_HP321,Printer Hp Compatible Cartridge 321,2025-09-18,1896,High,WC004,36.7,In Progress,SUP003
WO20250820430,PRINTER_HP372,Printer Hp Compatible Cartridge 372,2025-09-08,1912,High,WC010,43.8,On Hold,SUP004
WO20250820431,PRINTER_EP721,Printer Ep Compatible Cartridge 721,2025-08-25,643,High,WC002,39.3,In Progress,SUP002
WO20250820432,PRINTER_CN426,Printer Cn Compatible Cartridge 426,2025-08-23,1140,Urgent,WC003,28.7,On Hold,SUP003
WO20250820433,PRINTER_CN117,Printer Cn Compatible Cartridge 117,2025-09-10,1986,Normal,WC008,8.3,Scheduled,SUP002
WO20250820434,PRINTER_BR485,Printer Br Compatible Cartridge 485,2025-09-01,1026,Normal,WC001,29.8,Completed,SUP004
WO20250820435,PRINTER_LX586,Printer Lx Compatible Cartridge 586,2025-08-25,966,Low,WC008,45.7,Cancelled,SUP003
WO20250820436,PRINTER_EP088,Printer Ep Compatible Cartridge 088,2025-09-17,807,Low,WC003,9.9,Completed,SUP004
WO20250820437,PRINTER_CN114,Printer Cn Compatible Cartridge 114,2025-09-18,1669,Normal,WC006,16.9,Scheduled,SUP003
WO20250820438,PRINTER_LX819,Printer Lx Compatible Cartridge 819,2025-09-04,82,Urgent,WC003,20.1,Completed,SUP002
WO20250820439,PRINTER_LX287,Printer Lx Compatible Cartridge 287,2025-09-05,1901,Low,WC008,18.0,In Progress,SUP001
WO20250820440,PRINTER_CN718,Printer Cn Compatible Cartridge 718,2025-08-29,588,Urgent,WC007,18.9,Completed,SUP004
WO20250820441,PRINTER_HP341,Printer Hp Compatible Cartridge 341,2025-09-06,114,Normal,WC010,4.5,Cancelled,SUP001
WO20250820442,PRINTER_EP390,Printer Ep Compatible Cartridge 390,2025-08-26,1902,Urgent,WC007,21.1,Completed,SUP004
WO20250820443,PRINTER_EP376,Printer Ep Compatible Cartridge 376,2025-09-14,1099,Urgent,WC007,35.1,In Progress,SUP003
WO20250820444,PRINTER_EP566,Printer Ep Compatible Cartridge 566,2025-08-26,1051,High,WC005,7.7,On Hold,SUP001
WO20250820445,PRINTER_EP883,Printer Ep Compatible Cartridge 883,2025-09-05,1884,Low,WC001,39.7,Scheduled,SUP002
WO20250820446,PRINTER_HP182,Printer Hp Compatible Cartridge 182,2025-08-31,183,Normal,WC010,39.3,Scheduled,SUP001
WO20250820447,PRINTER_HP741,Printer Hp Compatible Cartridge 741,2025-08-20,1558,High,WC010,7.1,Cancelled,SUP004
WO20250820448,PRINTER_EP805,Printer Ep Compatible Cartridge 805,2025-09-10,266,Low,WC001,35.0,In Progress,SUP001
WO20250820449,PRINTER_CN094,Printer Cn Compatible Cartridge 094,2025-09-11,1998,Low,WC001,23.1,In Progress,SUP002
WO20250820450,PRINTER_HP735,Printer Hp Compatible Cartridge 735,2025-08-22,842,High,WC009,12.5,In Progress,SUP004
WO20250820451,PRINTER_LX724,Printer Lx Compatible Cartridge 724,2025-08-25,1010,High,WC010,42.1,Scheduled,SUP004
WO20250820452,PRINTER_CN520,Printer Cn Compatible Cartridge 520,2025-08-20,212,Normal,WC004,15.6,Cancelled,SUP005
WO20250820453,PRINTER_CN717,Printer Cn Compatible Cartridge 717,2025-08-23,1489,Low,WC004,12.2,Completed,SUP002
WO20250820454,PRINTER_CN405,Printer Cn Compatible Cartridge 405,2025-09-09,1762,High,WC010,22.1,Completed,SUP002
WO20250820455,PRINTER_BR257,Printer Br Compatible Cartridge 257,2025-09-15,756,Normal,WC009,4.3,Completed,SUP003
WO20250820456,PRINTER_CN067,Printer Cn Compatible Cartridge 067,2025-08-21,178,Urgent,WC006,43.7,Scheduled,SUP005
WO20250820457,PRINTER_BR082,Printer Br Compatible Cartridge 082,2025-09-10,1615,Urgent,WC001,47.0,Scheduled,SUP003
WO20250820458,PRINTER_LX790,Printer Lx Compatible Cartridge 790,2025-09-18,1922,High,WC010,33.8,Scheduled,SUP005
WO20250820459,PRINTER_EP745,Printer Ep Compatible Cartridge 745,2025-09-15,703,Urgent,WC006,36.7,On Hold,SUP003
WO20250820460,PRINTER_BR308,Printer Br Compatible Cartridge 308,2025-09-13,1051,High,WC009,48.0,In Progress,SUP002
WO20250820461,PRINTER_LX175,Printer Lx Compatible Cartridge 175,2025-08-21,1464,High,WC007,24.5,On Hold,SUP003
WO20250820462,PRINTER_BR475,Printer Br Compatible Cartridge 475,2025-09-16,1891,Urgent,WC008,10.7,On Hold,SUP004
WO20250820463,PRINTER_HP895,Printer Hp Compatible Cartridge 895,2025-08-24,1664,High,WC007,47.5,In Progress,SUP004
WO20250820464,PRINTER_EP015,Printer Ep Compatible Cartridge 015,2025-09-02,1670,Normal,WC003,30.1,In Progress,SUP002
WO20250820465,PRINTER_HP017,Printer Hp Compatible Cartridge 017,2025-09-01,1017,Normal,WC005,18.8,Scheduled,SUP004
WO20250820466,PRINTER_BR163,Printer Br Compatible Cartridge 163,2025-08-29,1749,High,WC004,12.4,Cancelled,SUP004
WO20250820467,PRINTER_BR446,Printer Br Compatible Cartridge 446,2025-09-19,1794,Normal,WC008,46.6,Scheduled,SUP003
WO20250820468,PRINTER_HP069,Printer Hp Compatible Cartridge 069,2025-09-19,712,Urgent,WC010,16.7,In Progress,SUP005
WO20250820469,PRINTER_BR823,Printer Br Compatible Cartridge 823,2025-08-26,902,Urgent,WC001,46.1,In Progress,SUP003
WO20250820470,PRINTER_EP701,Printer Ep Compatible Cartridge 701,2025-09-08,928,Low,WC010,9.7,Completed,SUP003
WO20250820471,PRINTER_EP827,Printer Ep Compatible Cartridge 827,2025-09-11,1819,Normal,WC006,28.9,On Hold,SUP001
WO20250820472,PRINTER_HP458,Printer Hp Compatible Cartridge 458,2025-08-31,904,Normal,WC004,45.6,In Progress,SUP003
WO20250820473,PRINTER_BR806,Printer Br Compatible Cartridge 806,2025-08-28,1186,High,WC010,38.9,In Progress,SUP002
WO20250820474,PRINTER_EP801,Printer Ep Compatible Cartridge 801,2025-09-09,1222,Normal,WC010,30.8,In Progress,SUP004
WO20250820475,PRINTER_LX482,Printer Lx Compatible Cartridge 482,2025-09-17,89,High,WC009,42.8,On Hold,SUP002
WO20250820476,PRINTER_LX330,Printer Lx Compatible Cartridge 330,2025-08-22,1133,Urgent,WC008,30.5,Completed,SUP001
WO20250820477,PRINTER_BR399,Printer Br Compatible Cartridge 399,2025-09-13,445,High,WC003,20.0,Scheduled,SUP004
WO20250820478,PRINTER_CN229,Printer Cn Compatible Cartridge 229,2025-09-09,56,High,WC006,40.3,On Hold,SUP005
WO20250820479,PRINTER_CN803,Printer Cn Compatible Cartridge 803,2025-08-28,705,Urgent,WC006,30.6,Cancelled,SUP002
WO20250820480,PRINTER_CN981,Printer Cn Compatible Cartridge 981,2025-09-18,1273,Low,WC005,36.3,In Progress,SUP005
WO20250820481,PRINTER_LX290,Printer Lx Compatible Cartridge 290,2025-08-27,1669,Urgent,WC007,34.8,Scheduled,SUP003
WO20250820482,PRINTER_EP210,Printer Ep Compatible Cartridge 210,2025-08-24,656,Low,WC001,32.7,On Hold,SUP001
WO20250820483,PRINTER_EP477,Printer Ep Compatible Cartridge 477,2025-09-13,1913,Normal,WC008,31.5,Cancelled,SUP002
WO20250820484,PRINTER_LX455,Printer Lx Compatible Cartridge 455,2025-09-13,693,Low,WC005,24.1,In Progress,SUP005
WO20250820485,PRINTER_BR292,Printer Br Compatible Cartridge 292,2025-08-25,1251,Normal,WC006,46.1,Scheduled,SUP001
WO20250820486,PRINTER_EP566,Printer Ep Compatible Cartridge 566,2025-09-04,805,Normal,WC006,40.6,On Hold,SUP005
WO20250820487,PRINTER_HP644,Printer Hp Compatible Cartridge 644,2025-09-02,1373,High,WC007,11.8,Cancelled,SUP001
WO20250820488,PRINTER_EP332,Printer Ep Compatible Cartridge 332,2025-09-07,1599,Low,WC009,6.5,In Progress,SUP004
WO20250820489,PRINTER_HP950,Printer Hp Compatible Cartridge 950,2025-08-22,336,Normal,WC002,27.0,In Progress,SUP001
WO20250820490,PRINTER_EP996,Printer Ep Compatible Cartridge 996,2025-08-31,742,Low,WC007,19.1,Scheduled,SUP004
WO20250820491,PRINTER_BR559,Printer Br Compatible Cartridge 559,2025-08-21,1124,Urgent,WC007,34.6,Cancelled,SUP001
WO20250820492,PRINTER_CN460,Printer Cn Compatible Cartridge 460,2025-08-25,286,High,WC004,14.5,Cancelled,SUP001
WO20250820493,PRINTER_HP659,Printer Hp Compatible Cartridge 659,2025-09-15,1478,Normal,WC008,5.9,In Progress,SUP002
WO20250820494,PRINTER_CN978,Printer Cn Compatible Cartridge 978,2025-09-16,331,High,WC006,21.1,On Hold,SUP001
WO20250820495,PRINTER_LX784,Printer Lx Compatible Cartridge 784,2025-08-29,1058,Low,WC007,28.2,Scheduled,SUP002
WO20250820496,PRINTER_LX037,Printer Lx Compatible Cartridge 037,2025-08-26,520,Urgent,WC001,19.4,Scheduled,SUP005
WO20250820497,PRINTER_EP522,Printer Ep Compatible Cartridge 522,2025-09-17,1747,Normal,WC007,13.4,Cancelled,SUP001
WO20250820498,PRINTER_LX289,Printer Lx Compatible Cartridge 289,2025-08-28,1189,High,WC009,21.1,In Progress,SUP005
WO20250820499,PRINTER_EP343,Printer Ep Compatible Cartridge 343,2025-08-26,719,High,WC007,9.2,Completed,SUP004
WO20250820500,PRINTER_HP457,Printer Hp Compatible Cartridge 457,2025-09-08,1384,Urgent,WC004,12.1,Scheduled,SUP004
WO20250820501,PRINTER_HP761,Printer Hp Compatible Cartridge 761,2025-09-18,1840,Normal,WC004,37.4,Completed,SUP002
WO20250820502,PRINTER_LX838,Printer Lx Compatible Cartridge 838,2025-08-29,789,Urgent,WC001,32.5,In Progress,SUP005
WO20250820503,PRINTER_EP223,Printer Ep Compatible Cartridge 223,2025-09-05,98,High,WC001,13.5,In Progress,SUP003
WO20250820504,PRINTER_CN512,Printer Cn Compatible Cartridge 512,2025-09-19,1524,Urgent,WC006,24.1,On Hold,SUP005
WO20250820505,PRINTER_CN943,Printer Cn Compatible Cartridge 943,2025-09-04,1033,High,WC004,7.4,Scheduled,SUP001
WO20250820506,PRINTER_HP635,Printer Hp Compatible Cartridge 635,2025-08-21,1805,Low,WC005,44.9,Completed,SUP004
WO20250820507,PRINTER_BR747,Printer Br Compatible Cartridge 747,2025-09-07,376,Low,WC001,20.2,In Progress,SUP004
WO20250820508,PRINTER_EP078,Printer Ep Compatible Cartridge 078,2025-08-28,905,Low,WC005,37.9,Scheduled,SUP003
WO20250820509,PRINTER_CN270,Printer Cn Compatible Cartridge 270,2025-09-03,1954,Normal,WC002,44.5,Scheduled,SUP004
WO20250820510,PRINTER_CN015,Printer Cn Compatible Cartridge 015,2025-08-23,226,Normal,WC008,42.3,Cancelled,SUP005
WO20250820511,PRINTER_EP277,Printer Ep Compatible Cartridge 277,2025-08-20,1489,Urgent,WC002,36.2,In Progress,SUP002
WO20250820512,PRINTER_HP408,Printer Hp Compatible Cartridge 408,2025-09-10,822,Low,WC001,25.9,On Hold,SUP004
WO20250820513,PRINTER_CN997,Printer Cn Compatible Cartridge 997,2025-08-20,1231,Low,WC002,46.2,Completed,SUP003
WO20250820514,PRINTER_BR208,Printer Br Compatible Cartridge 208,2025-09-14,597,Low,WC005,46.4,In Progress,SUP002
WO20250820515,PRINTER_BR830,Printer Br Compatible Cartridge 830,2025-08-20,1381,Low,WC010,40.8,On Hold,SUP005
WO20250820516,PRINTER_BR811,Printer Br Compatible Cartridge 811,2025-08-27,1515,Low,WC005,20.0,Cancelled,SUP003
WO20250820517,PRINTER_BR841,Printer Br Compatible Cartridge 841,2025-09-04,1165,Normal,WC006,33.0,Completed,SUP005
WO20250820518,PRINTER_LX150,Printer Lx Compatible Cartridge 150,2025-08-30,1555,High,WC007,11.7,On Hold,SUP003
WO20250820519,PRINTER_BR356,Printer Br Compatible Cartridge 356,2025-09-13,648,Normal,WC008,33.7,On Hold,SUP003
WO20250820520,PRINTER_BR089,Printer Br Compatible Cartridge 089,2025-09-08,568,Normal,WC006,44.7,On Hold,SUP004
WO20250820521,PRINTER_LX883,Printer Lx Compatible Cartridge 883,2025-09-10,386,Low,WC006,26.3,In Progress,SUP005
WO20250820522,PRINTER_EP554,Printer Ep Compatible Cartridge 554,2025-09-09,1753,Normal,WC010,10.1,In Progress,SUP004
WO20250820523,PRINTER_HP844,Printer Hp Compatible Cartridge 844,2025-09-02,1853,Low,WC009,27.9,Cancelled,SUP001
WO20250820524,PRINTER_LX005,Printer Lx Compatible Cartridge 005,2025-08-28,1963,Normal,WC004,34.1,Completed,SUP004
WO20250820525,PRINTER_HP334,Printer Hp Compatible Cartridge 334,2025-09-12,1763,High,WC009,45.2,Cancelled,SUP004
WO20250820526,PRINTER_CN591,Printer Cn Compatible Cartridge 591,2025-08-31,1585,Urgent,WC002,13.9,On Hold,SUP002
WO20250820527,PRINTER_CN734,Printer Cn Compatible Cartridge 734,2025-08-20,1879,Low,WC008,10.4,Scheduled,SUP003
WO20250820528,PRINTER_CN774,Printer Cn Compatible Cartridge 774,2025-09-01,670,Normal,WC009,32.1,In Progress,SUP001
WO20250820529,PRINTER_HP032,Printer Hp Compatible Cartridge 032,2025-08-29,297,Normal,WC003,40.4,Scheduled,SUP001
WO20250820530,PRINTER_EP464,Printer Ep Compatible Cartridge 464,2025-09-19,293,Urgent,WC006,33.1,Scheduled,SUP005
WO20250820531,PRINTER_EP352,Printer Ep Compatible Cartridge 352,2025-09-01,817,Normal,WC005,22.9,Cancelled,SUP004
WO20250820532,PRINTER_LX608,Printer Lx Compatible Cartridge 608,2025-08-21,1440,Urgent,WC001,26.0,Completed,SUP001
WO20250820533,PRINTER_EP718,Printer Ep Compatible Cartridge 718,2025-09-04,1813,Urgent,WC009,37.9,On Hold,SUP005
WO20250820534,PRINTER_LX902,Printer Lx Compatible Cartridge 902,2025-08-31,1993,Urgent,WC001,20.7,On Hold,SUP001
WO20250820535,PRINTER_BR259,Printer Br Compatible Cartridge 259,2025-09-06,238,Low,WC004,35.9,Scheduled,SUP004
WO20250820536,PRINTER_BR768,Printer Br Compatible Cartridge 768,2025-08-30,544,Urgent,WC001,18.2,Cancelled,SUP004
WO20250820537,PRINTER_CN629,Printer Cn Compatible Cartridge 629,2025-09-02,244,Low,WC003,30.1,Scheduled,SUP005
WO20250820538,PRINTER_BR071,Printer Br Compatible Cartridge 071,2025-09-05,421,Urgent,WC005,34.7,On Hold,SUP005
WO20250820539,PRINTER_HP260,Printer Hp Compatible Cartridge 260,2025-09-07,290,Urgent,WC003,43.7,Completed,SUP002
WO20250820540,PRINTER_HP298,Printer Hp Compatible Cartridge 298,2025-09-08,728,Urgent,WC002,34.2,Scheduled,SUP002
WO20250820541,PRINTER_BR498,Printer Br Compatible Cartridge 498,2025-08-27,61,Urgent,WC003,38.0,Scheduled,SUP003
WO20250820542,PRINTER_CN229,Printer Cn Compatible Cartridge 229,2025-08-30,1822,Urgent,WC004,35.4,Scheduled,SUP001
WO20250820543,PRINTER_CN143,Printer Cn Compatible Cartridge 143,2025-08-24,1566,Low,WC008,25.8,On Hold,SUP001
WO20250820544,PRINTER_LX920,Printer Lx Compatible Cartridge 920,2025-09-11,804,Low,WC007,24.8,Completed,SUP004
WO20250820545,PRINTER_LX719,Printer Lx Compatible Cartridge 719,2025-09-02,187,Low,WC002,15.6,Completed,SUP004
WO20250820546,PRINTER_BR520,Printer Br Compatible Cartridge 520,2025-09-18,548,Normal,WC002,5.1,Scheduled,SUP005
WO20250820547,PRINTER_CN681,Printer Cn Compatible Cartridge 681,2025-08-26,963,High,WC009,15.6,Scheduled,SUP002
WO20250820548,PRINTER_LX424,Printer Lx Compatible Cartridge 424,2025-08-23,1196,Low,WC004,12.9,Completed,SUP002
WO20250820549,PRINTER_BR012,Printer Br Compatible Cartridge 012,2025-08-31,172,Low,WC002,27.1,Completed,SUP005
WO20250820550,PRINTER_LX010,Printer Lx Compatible Cartridge 010,2025-08-29,1853,Normal,WC006,44.5,On Hold,SUP002
WO20250820551,PRINTER_CN680,Printer Cn Compatible Cartridge 680,2025-09-04,1029,Urgent,WC004,8.4,On Hold,SUP005
WO20250820552,PRINTER_LX880,Printer Lx Compatible Cartridge 880,2025-09-14,195,Normal,WC003,41.7,In Progress,SUP001
WO20250820553,PRINTER_BR526,Printer Br Compatible Cartridge 526,2025-08-22,1209,Normal,WC004,31.6,On Hold,SUP003
WO20250820554,PRINTER_CN848,Printer Cn Compatible Cartridge 848,2025-08-28,882,Low,WC007,5.9,Completed,SUP004
WO20250820555,PRINTER_HP198,Printer Hp Compatible Cartridge 198,2025-09-10,1537,High,WC007,23.8,In Progress,SUP002
WO20250820556,PRINTER_BR630,Printer Br Compatible Cartridge 630,2025-09-19,1668,Urgent,WC003,14.6,Cancelled,SUP003
WO20250820557,PRINTER_BR792,Printer Br Compatible Cartridge 792,2025-08-22,936,Low,WC007,6.9,Scheduled,SUP002
WO20250820558,PRINTER_HP379,Printer Hp Compatible Cartridge 379,2025-08-28,855,High,WC008,32.6,Completed,SUP003
WO20250820559,PRINTER_LX620,Printer Lx Compatible Cartridge 620,2025-08-30,1932,High,WC008,26.5,On Hold,SUP005
WO20250820560,PRINTER_LX946,Printer Lx Compatible Cartridge 946,2025-09-10,1289,Normal,WC008,18.8,On Hold,SUP003
WO20250820561,PRINTER_LX530,Printer Lx Compatible Cartridge 530,2025-09-08,1343,Low,WC005,31.7,Completed,SUP003
WO20250820562,PRINTER_LX526,Printer Lx Compatible Cartridge 526,2025-08-27,691,High,WC004,28.9,Completed,SUP003
WO20250820563,PRINTER_CN846,Printer Cn Compatible Cartridge 846,2025-08-30,1110,Urgent,WC005,15.6,On Hold,SUP002
WO20250820564,PRINTER_LX912,Printer Lx Compatible Cartridge 912,2025-09-14,335,High,WC004,34.2,Completed,SUP005
WO20250820565,PRINTER_LX329,Printer Lx Compatible Cartridge 329,2025-08-26,1684,Urgent,WC010,26.9,Scheduled,SUP003
WO20250820566,PRINTER_CN211,Printer Cn Compatible Cartridge 211,2025-09-08,1667,High,WC003,43.0,On Hold,SUP003
WO20250820567,PRINTER_CN402,Printer Cn Compatible Cartridge 402,2025-09-04,1518,High,WC010,24.2,Completed,SUP002
WO20250820568,PRINTER_EP621,Printer Ep Compatible Cartridge 621,2025-08-22,567,Low,WC007,39.8,On Hold,SUP001
WO20250820569,PRINTER_HP194,Printer Hp Compatible Cartridge 194,2025-09-14,1963,High,WC008,24.0,Cancelled,SUP005
WO20250820570,PRINTER_EP524,Printer Ep Compatible Cartridge 524,2025-09-07,911,Normal,WC005,6.2,On Hold,SUP004
WO20250820571,PRINTER_LX111,Printer Lx Compatible Cartridge 111,2025-09-04,945,Urgent,WC006,9.3,In Progress,SUP001
WO20250820572,PRINTER_EP779,Printer Ep Compatible Cartridge 779,2025-09-14,161,Low,WC002,16.2,Cancelled,SUP005
WO20250820573,PRINTER_EP131,Printer Ep Compatible Cartridge 131,2025-09-14,246,Urgent,WC004,5.8,Cancelled,SUP001
WO20250820574,PRINTER_HP115,Printer Hp Compatible Cartridge 115,2025-08-30,1328,High,WC005,22.9,In Progress,SUP002
WO20250820575,PRINTER_LX619,Printer Lx Compatible Cartridge 619,2025-09-07,1589,High,WC009,19.6,In Progress,SUP002
WO20250820576,PRINTER_HP567,Printer Hp Compatible Cartridge 567,2025-09-07,698,Normal,WC003,39.5,On Hold,SUP002
WO20250820577,PRINTER_LX632,Printer Lx Compatible Cartridge 632,2025-08-20,378,Low,WC010,36.6,Completed,SUP004
WO20250820578,PRINTER_HP098,Printer Hp Compatible Cartridge 098,2025-08-27,1781,Urgent,WC004,14.6,Cancelled,SUP002
WO20250820579,PRINTER_CN940,Printer Cn Compatible Cartridge 940,2025-08-27,622,Low,WC001,14.5,Completed,SUP004
WO20250820580,PRINTER_LX882,Printer Lx Compatible Cartridge 882,2025-09-08,1789,Urgent,WC008,13.4,Scheduled,SUP001
WO20250820581,PRINTER_BR730,Printer Br Compatible Cartridge 730,2025-09-03,956,Normal,WC007,41.4,On Hold,SUP001
WO20250820582,PRINTER_LX784,Printer Lx Compatible Cartridge 784,2025-08-28,470,Urgent,WC007,38.7,Cancelled,SUP003
WO20250820583,PRINTER_EP022,Printer Ep Compatible Cartridge 022,2025-09-04,1089,Urgent,WC008,30.7,Completed,SUP002
WO20250820584,PRINTER_HP616,Printer Hp Compatible Cartridge 616,2025-09-15,1481,Urgent,WC003,38.7,In Progress,SUP002
WO20250820585,PRINTER_EP362,Printer Ep Compatible Cartridge 362,2025-09-01,611,Normal,WC005,43.5,On Hold,SUP005
WO20250820586,PRINTER_BR984,Printer Br Compatible Cartridge 984,2025-08-20,1455,Normal,WC002,23.9,Scheduled,SUP004
WO20250820587,PRINTER_LX354,Printer Lx Compatible Cartridge 354,2025-08-31,830,Low,WC008,23.2,On Hold,SUP004
WO20250820588,PRINTER_HP448,Printer Hp Compatible Cartridge 448,2025-08-28,763,Normal,WC005,20.1,Completed,SUP004
WO20250820589,PRINTER_CN173,Printer Cn Compatible Cartridge 173,2025-08-27,1798,Normal,WC001,47.1,Completed,SUP001
WO20250820590,PRINTER_CN093,Printer Cn Compatible Cartridge 093,2025-09-11,1925,Normal,WC002,31.1,Cancelled,SUP001
WO20250820591,PRINTER_EP082,Printer Ep Compatible Cartridge 082,2025-09-05,1958,High,WC008,10.6,In Progress,SUP004
WO20250820592,PRINTER_EP892,Printer Ep Compatible Cartridge 892,2025-09-18,430,Normal,WC007,17.7,Cancelled,SUP001
WO20250820593,PRINTER_CN893,Printer Cn Compatible Cartridge 893,2025-08-22,1321,Low,WC010,32.8,In Progress,SUP003
WO20250820594,PRINTER_LX482,Printer Lx Compatible Cartridge 482,2025-09-19,916,Normal,WC004,4.8,In Progress,SUP005
WO20250820595,PRINTER_HP069,Printer Hp Compatible Cartridge 069,2025-09-13,257,High,WC003,27.5,On Hold,SUP005
WO20250820596,PRINTER_EP741,Printer Ep Compatible Cartridge 741,2025-08-25,362,Normal,WC004,38.6,Completed,SUP002
WO20250820597,PRINTER_EP526,Printer Ep Compatible Cartridge 526,2025-09-15,92,Low,WC007,9.9,Scheduled,SUP004
WO20250820598,PRINTER_CN867,Printer Cn Compatible Cartridge 867,2025-08-24,545,High,WC010,38.5,On Hold,SUP002
WO20250820599,PRINTER_BR180,Printer Br Compatible Cartridge 180,2025-09-11,275,Normal,WC003,32.2,Scheduled,SUP001
WO20250820600,PRINTER_BR140,Printer Br Compatible Cartridge 140,2025-08-20,638,Urgent,WC009,39.1,On Hold,SUP005
WO20250820601,PRINTER_LX744,Printer Lx Compatible Cartridge 744,2025-09-01,1870,Urgent,WC009,19.6,Cancelled,SUP005
WO20250820602,PRINTER_BR770,Printer Br Compatible Cartridge 770,2025-08-28,1122,Urgent,WC003,26.1,On Hold,SUP002
WO20250820603,PRINTER_HP212,Printer Hp Compatible Cartridge 212,2025-08-22,1278,High,WC005,9.1,On Hold,SUP004
WO20250820604,PRINTER_BR307,Printer Br Compatible Cartridge 307,2025-08-31,98,High,WC008,12.7,Scheduled,SUP002
WO20250820605,PRINTER_BR794,Printer Br Compatible Cartridge 794,2025-09-09,1586,Normal,WC008,42.1,In Progress,SUP003
WO20250820606,PRINTER_BR251,Printer Br Compatible Cartridge 251,2025-08-24,83,Normal,WC008,15.1,On Hold,SUP004
WO20250820607,PRINTER_BR381,Printer Br Compatible Cartridge 381,2025-09-17,469,Urgent,WC003,22.3,Scheduled,SUP002
WO20250820608,PRINTER_CN919,Printer Cn Compatible Cartridge 919,2025-09-09,1939,Low,WC005,20.5,Completed,SUP004
WO20250820609,PRINTER_BR909,Printer Br Compatible Cartridge 909,2025-09-09,1836,Urgent,WC002,30.3,Completed,SUP005
WO20250820610,PRINTER_LX489,Printer Lx Compatible Cartridge 489,2025-08-21,1962,Urgent,WC002,19.5,In Progress,SUP003
WO20250820611,PRINTER_LX170,Printer Lx Compatible Cartridge 170,2025-08-20,257,Normal,WC009,15.9,Scheduled,SUP005
WO20250820612,PRINTER_CN646,Printer Cn Compatible Cartridge 646,2025-09-05,810,Low,WC008,21.8,Cancelled,SUP004
WO20250820613,PRINTER_EP637,Printer Ep Compatible Cartridge 637,2025-08-30,633,High,WC001,39.3,Cancelled,SUP001
WO20250820614,PRINTER_BR777,Printer Br Compatible Cartridge 777,2025-09-04,937,Low,WC009,36.1,Cancelled,SUP005
WO20250820615,PRINTER_HP992,Printer Hp Compatible Cartridge 992,2025-08-24,1960,Urgent,WC006,33.1,On Hold,SUP003
WO20250820616,PRINTER_CN146,Printer Cn Compatible Cartridge 146,2025-09-13,1923,Normal,WC002,31.1,Completed,SUP004
WO20250820617,PRINTER_CN043,Printer Cn Compatible Cartridge 043,2025-08-21,670,Low,WC003,12.6,Cancelled,SUP002
WO20250820618,PRINTER_BR819,Printer Br Compatible Cartridge 819,2025-09-15,1858,Normal,WC007,28.1,Completed,SUP002
WO20250820619,PRINTER_HP068,Printer Hp Compatible Cartridge 068,2025-08-25,1808,Low,WC005,36.0,Scheduled,SUP002
WO20250820620,PRINTER_BR938,Printer Br Compatible Cartridge 938,2025-08-25,1944,Urgent,WC002,7.5,On Hold,SUP003
WO20250820621,PRINTER_LX746,Printer Lx Compatible Cartridge 746,2025-08-31,1792,Urgent,WC005,29.4,Cancelled,SUP003
WO20250820622,PRINTER_EP540,Printer Ep Compatible Cartridge 540,2025-08-24,1417,High,WC010,38.2,In Progress,SUP002
WO20250820623,PRINTER_HP445,Printer Hp Compatible Cartridge 445,2025-09-04,607,High,WC009,17.2,On Hold,SUP001
WO20250820624,PRINTER_LX308,Printer Lx Compatible Cartridge 308,2025-09-14,1817,High,WC002,40.3,Cancelled,SUP002
WO20250820625,PRINTER_CN902,Printer Cn Compatible Cartridge 902,2025-09-19,559,Urgent,WC003,44.7,Cancelled,SUP005
WO20250820626,PRINTER_EP423,Printer Ep Compatible Cartridge 423,2025-09-12,868,Urgent,WC010,18.6,Scheduled,SUP002
WO20250820627,PRINTER_CN639,Printer Cn Compatible Cartridge 639,2025-09-04,1992,Low,WC006,44.7,Scheduled,SUP004
WO20250820628,PRINTER_BR835,Printer Br Compatible Cartridge 835,2025-09-02,365,Urgent,WC008,47.0,Completed,SUP003
WO20250820629,PRINTER_HP316,Printer Hp Compatible Cartridge 316,2025-08-27,1046,Urgent,WC007,29.9,On Hold,SUP004
WO20250820630,PRINTER_CN294,Printer Cn Compatible Cartridge 294,2025-08-27,1300,Normal,WC006,11.0,Completed,SUP005
